rowid,mapURL
1,https://www.google.com/maps/search/?api=1&query=agataJapan&query_place_id=ChIJLa5tqs0odTERqDsie8VR9u0
2,https://www.google.com/maps/search/?api=1&query=TO%C3%80N%20UY%C3%8AN%20FOOD%20(%20Chuy%C3%AAn%20cung%20%E1%BB%A9ng%20th%E1%BB%B1c%20ph%E1%BA%A9m%20xi%C3%AAn%20que%2C%20%C4%91%C3%B4ng%20l%E1%BA%A1nh%2C%20h%E1%BA%A3i%20s%E1%BA%A3n)&query_place_id=ChIJPT497lUvdTERS-KzgLHMuvo
3,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20%C4%82n%20M%E1%BB%B9%20V%E1%BB%8B&query_place_id=ChIJG5kTNhUvdTER03ANMt2uWcE
4,https://www.google.com/maps/search/?api=1&query=Ph%C3%A1%20L%E1%BA%A5u%20Nga&query_place_id=ChIJrwLyLykvdTERG-zzth_3vy4
5,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Ch%E1%BB%8B%20Ho%C3%A0%20-%20Gia%20Truy%E1%BB%81n%20H%C6%A1n%2060%20N%C4%83m&query_place_id=ChIJt180RBQvdTERDlFXTx3kDHo
6,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20cu%E1%BB%91n%20n%C3%B3ng%20Anh%20%C4%90%C3%A0o&query_place_id=ChIJKyqlHL8vdTERQX07MSlKEXU
7,https://www.google.com/maps/search/?api=1&query=Kyo%20Dashi%20Qu%E1%BA%ADn%204&query_place_id=ChIJN1e8p8YvdTERNw273fAcCjc
8,https://www.google.com/maps/search/?api=1&query=VUA%20%E1%BA%BECH%20%7C%20L%E1%BA%A8U%20%E1%BA%BECH%20M%C4%82NG%20CAY%20QU%E1%BA%ACN%201&query_place_id=ChIJxxfnZQAvdTERbDOJ0RzuRKw
9,https://www.google.com/maps/search/?api=1&query=M%C3%AC%20kh%C3%B4%20x%C3%A1%20x%C3%ADu%20t%C3%B4m%20m%E1%BB%B1c%20A%20C%C6%B0%E1%BB%9Dng&query_place_id=ChIJY2dNbE8vdTERn-Gdw4Cpse4
10,https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20G%C3%A0%20H%E1%BA%A3i%20Nam%20Yummy%20-%20C%C3%B4%20Giang&query_place_id=ChIJxwhHdJspdTERkb02FzXboiw
11,https://www.google.com/maps/search/?api=1&query=Qua%CC%81n%20197%20-%20Bia%20s%E1%BB%87t&query_place_id=ChIJ8ZftkRMvdTER9jK1iBKKDSA
12,https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20Qu%E1%BA%A3ng%20Ch%C3%A2u&query_place_id=ChIJWXxW-vovdTERwY7Q-Wpni1E
13,https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20B%C3%ACnh%20D%C3%A2n%20C%C3%B4%20V%C3%A2n&query_place_id=ChIJ6VqhQeUvdTERMNIfCqJOVL8
14,https://www.google.com/maps/search/?api=1&query=YUI%20-%20M%C3%AC%20cay%20%26%20Tr%C3%A0%20s%E1%BB%AFa&query_place_id=ChIJX6VEurIvdTERFkxr5Qn9Fj4
15,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20X%C3%B4i%20G%C3%A0%20-%20X%C3%A1%20X%C3%ADu%20qu%E1%BA%ADn%201&query_place_id=ChIJg4CFolMvdTERQtnHR2WTy6Q
16,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%2042&query_place_id=ChIJP3ubtxUvdTERRlke2-1Cojw
17,https://www.google.com/maps/search/?api=1&query=L%C3%B2i%20H%E1%BB%A7%20K%C3%BD%E6%9D%A5%E5%A5%BD%E8%AE%B0&query_place_id=ChIJP_DErD4vdTERm388oSCklfM
18,https://www.google.com/maps/search/?api=1&query=VIVA%20FOODS&query_place_id=ChIJhwtpJgkndTERLtt2u1YjpvA
19,https://www.google.com/maps/search/?api=1&query=%C4%82n%20Ngon%20Catering%20Showroom&query_place_id=ChIJ71mgs2UvdTERzruiCkXQogM
20,https://www.google.com/maps/search/?api=1&query=Ichiban%20Market%20-%20Japanese%20Supermarket&query_place_id=ChIJyZUKKaApdTER_eLtbG_bZQE
21,https://www.google.com/maps/search/?api=1&query=Quince%20Saigon&query_place_id=ChIJh2FeSBUvdTERCRKLSex0DA0
